name,link,risk
DSP Top 100 Equity Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-top-100-equity-fund-direct-growth,Very High Risk
Invesco India PSU Equity Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-psu-equity-fund-direct-growth,Very High Risk
Edelweiss Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/edelweiss-focused-equity-fund-direct-growth,Very High Risk
Aditya Birla Sun Life MNC Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-mnc-fund-direct-growth,Very High Risk
SBI Magnum Equity ESG Fund Direct Plan Growth,https://groww.in/mutual-funds/sbi-magnum-equity-fund-direct-growth,Very High Risk
UTI Value Opportunities Fund Direct Growth,https://groww.in/mutual-funds/uti-opportunities-fund-direct-growth,Very High Risk
Franklin India Bluechip Direct Fund Growth,https://groww.in/mutual-funds/franklin-india-bluechip-direct-growth,Very High Risk
Nippon India Value Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-value-fund-direct-growth,Very High Risk
Franklin India Technology Fund Direct Growth,https://groww.in/mutual-funds/franklin-infotech-fund-direct-growth,Very High Risk
Invesco India Tax Plan Direct Growth,https://groww.in/mutual-funds/invesco-india-tax-plan-direct-growth,Very High Risk
Sundaram Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-select-midcap-direct-growth,Very High Risk
Baroda BNP Paribas Midcap Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-midcap-direct-growth,Very High Risk
Aditya Birla Sun Life Mid Cap Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-mid-cap-fund-plan-a-direct-growth,Very High Risk
Aditya Birla Sun Life Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-dividend-yield-plus-direct-growth,Very High Risk
ITI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-small-cap-fund-direct-growth,Very High Risk
