Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
HDFC Bank Ltd.,Financial,Equity,9468.84,Invesco India Multicap Fund Direct Growth
Reliance Industries Ltd.,Energy,Equity,5681.304,Invesco India Multicap Fund Direct Growth
The Federal Bank Ltd.,Financial,Equity,5681.304,Invesco India Multicap Fund Direct Growth
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,5207.862,Invesco India Multicap Fund Direct Growth
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,5207.862,Invesco India Multicap Fund Direct Growth
State Bank of India,Financial,Equity,4971.1410000000005,Invesco India Multicap Fund Direct Growth
Indian Bank,Financial,Equity,4971.1410000000005,Invesco India Multicap Fund Direct Growth
NTPC Ltd.,Energy,Equity,4734.42,Invesco India Multicap Fund Direct Growth
Triveni Turbine Ltd.,Capital Goods,Equity,4497.699,Invesco India Multicap Fund Direct Growth
Timken India Ltd.,Capital Goods,Equity,4497.699,Invesco India Multicap Fund Direct Growth
Sundram Fasteners Ltd.,Capital Goods,Equity,4260.978,Invesco India Multicap Fund Direct Growth
Gujarat State Petronet Ltd.,Energy,Equity,4024.257,Invesco India Multicap Fund Direct Growth
PNC Infratech Ltd.,Construction,Equity,4024.257,Invesco India Multicap Fund Direct Growth
Vinati Organics Ltd.,Chemicals,Equity,4024.257,Invesco India Multicap Fund Direct Growth
UNO Minda Ltd.,Automobile,Equity,4024.257,Invesco India Multicap Fund Direct Growth
Bank Of Baroda,Financial,Equity,3787.536,Invesco India Multicap Fund Direct Growth
Abbott India Ltd.,Healthcare,Equity,3787.536,Invesco India Multicap Fund Direct Growth
Balkrishna Industries Ltd.,Automobile,Equity,3787.536,Invesco India Multicap Fund Direct Growth
United Breweries Ltd.,Consumer Staples,Equity,3550.815,Invesco India Multicap Fund Direct Growth
VIP Industries Ltd.,Chemicals,Equity,3550.815,Invesco India Multicap Fund Direct Growth
Persistent Systems Ltd.,Technology,Equity,3077.373,Invesco India Multicap Fund Direct Growth
Dreamfolks Services Ltd.,Services,Equity,3077.373,Invesco India Multicap Fund Direct Growth
Orient Electric Ltd.,Consumer Discretionary,Equity,2840.652,Invesco India Multicap Fund Direct Growth
Birla Corporation Ltd.,Construction,Equity,2840.652,Invesco India Multicap Fund Direct Growth
SBI Life Insurance Company Ltd.,Insurance,Equity,2840.652,Invesco India Multicap Fund Direct Growth
Jamna Auto Industries Ltd.,Automobile,Equity,2603.931,Invesco India Multicap Fund Direct Growth
Bharat Dynamics Ltd.,Capital Goods,Equity,2603.931,Invesco India Multicap Fund Direct Growth
MTAR Technologies Ltd.,Capital Goods,Equity,2603.931,Invesco India Multicap Fund Direct Growth
Escorts Kubota Ltd.,Automobile,Equity,2603.931,Invesco India Multicap Fund Direct Growth
Samvardhana Motherson International Ltd.,Automobile,Equity,2603.931,Invesco India Multicap Fund Direct Growth
Bharat Electronics Ltd.,Capital Goods,Equity,2367.21,Invesco India Multicap Fund Direct Growth
Home First Finance Company India Ltd.,Financial,Equity,2367.21,Invesco India Multicap Fund Direct Growth
LTIMindtree Ltd.,Technology,Equity,2367.21,Invesco India Multicap Fund Direct Growth
Havells India Ltd.,Capital Goods,Equity,2367.21,Invesco India Multicap Fund Direct Growth
AIA Engineering Ltd.,Metals & Mining,Equity,2367.21,Invesco India Multicap Fund Direct Growth
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2367.21,Invesco India Multicap Fund Direct Growth
Anand Rathi Wealth Ltd.,Financial,Equity,2367.21,Invesco India Multicap Fund Direct Growth
Avenue Supermarts Ltd.,Services,Equity,2130.489,Invesco India Multicap Fund Direct Growth
DCB Bank Ltd.,Financial,Equity,2130.489,Invesco India Multicap Fund Direct Growth
Tata Steel Ltd.,Metals & Mining,Equity,2130.489,Invesco India Multicap Fund Direct Growth
Astral Ltd.,Chemicals,Equity,1893.768,Invesco India Multicap Fund Direct Growth
Bank of India,Financial,Equity,1893.768,Invesco India Multicap Fund Direct Growth
Devyani International Ltd.,Services,Equity,1657.047,Invesco India Multicap Fund Direct Growth
Expleo Solutions Ltd.,Technology,Equity,1657.047,Invesco India Multicap Fund Direct Growth
Hindalco Industries Ltd.,Metals & Mining,Equity,1657.047,Invesco India Multicap Fund Direct Growth
Siemens Ltd.,Capital Goods,Equity,1183.605,Invesco India Multicap Fund Direct Growth
Honeywell Automation India Ltd.,Capital Goods,Equity,21806.912,Aditya Birla Sun Life MNC Direct Fund Growth
Fortis Healthcare Ltd.,Healthcare,Equity,17975.968,Aditya Birla Sun Life MNC Direct Fund Growth
Bayer CropScience Ltd.,Chemicals,Equity,15913.152000000002,Aditya Birla Sun Life MNC Direct Fund Growth
Gillette India Ltd.,Consumer Staples,Equity,13850.336,Aditya Birla Sun Life MNC Direct Fund Growth
Maruti Suzuki India Ltd.,Automobile,Equity,12671.584,Aditya Birla Sun Life MNC Direct Fund Growth
Kansai Nerolac Paints Ltd.,Chemicals,Equity,9430.016,Aditya Birla Sun Life MNC Direct Fund Growth
Cummins India Ltd.,Capital Goods,Equity,9430.016,Aditya Birla Sun Life MNC Direct Fund Growth
Pfizer Ltd.,Healthcare,Equity,8545.952,Aditya Birla Sun Life MNC Direct Fund Growth
Crisil Ltd.,Services,Equity,8251.264,Aditya Birla Sun Life MNC Direct Fund Growth
Coforge Ltd.,Technology,Equity,7661.888000000001,Aditya Birla Sun Life MNC Direct Fund Growth
Bosch Ltd.,Automobile,Equity,7072.512,Aditya Birla Sun Life MNC Direct Fund Growth
Nestle India Ltd.,Consumer Staples,Equity,6483.136,Aditya Birla Sun Life MNC Direct Fund Growth
United Spirits Ltd.,Consumer Staples,Equity,5893.76,Aditya Birla Sun Life MNC Direct Fund Growth
United Breweries Ltd.,Consumer Staples,Equity,5304.384,Aditya Birla Sun Life MNC Direct Fund Growth
Siemens Ltd.,Capital Goods,Equity,5009.696,Aditya Birla Sun Life MNC Direct Fund Growth
Quess Corp Ltd.,Financial,Equity,4420.32,Aditya Birla Sun Life MNC Direct Fund Growth
Escorts Kubota Ltd.,Automobile,Equity,3536.256,Aditya Birla Sun Life MNC Direct Fund Growth
Mphasis Ltd.,Technology,Equity,3536.256,Aditya Birla Sun Life MNC Direct Fund Growth
Kotak Mahindra Bank Ltd.,Financial,Equity,3241.568,Aditya Birla Sun Life MNC Direct Fund Growth
Grindwell Norton Ltd.,Metals & Mining,Equity,2946.88,Aditya Birla Sun Life MNC Direct Fund Growth
ABB India Ltd.,Capital Goods,Equity,2946.88,Aditya Birla Sun Life MNC Direct Fund Growth
IDFC First Bank Ltd.,Financial,Equity,2652.192,Aditya Birla Sun Life MNC Direct Fund Growth
Akzo Nobel India Ltd.,Chemicals,Equity,2062.816,Aditya Birla Sun Life MNC Direct Fund Growth
