Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
2245,The Federal Bank Ltd.,Financial,Equity,2215.598,Sundaram Diversified Equity Fund Direct Growth
2246,Canara Bank,Financial,Equity,1899.084,Sundaram Diversified Equity Fund Direct Growth
2254,Bank Of Baroda,Financial,Equity,1740.827,Sundaram Diversified Equity Fund Direct Growth
2257,Max Financial Services Ltd.,Financial,Equity,1582.57,Sundaram Diversified Equity Fund Direct Growth
2263,Indusind Bank Ltd.,Financial,Equity,1107.799,Sundaram Diversified Equity Fund Direct Growth
2271,Fortis Healthcare Ltd.,Healthcare,Equity,791.285,Sundaram Diversified Equity Fund Direct Growth
2273,Can Fin Homes Ltd.,Financial,Equity,791.285,Sundaram Diversified Equity Fund Direct Growth
2276,Dixon Technologies (India) Ltd.,Capital Goods,Equity,316.514,Sundaram Diversified Equity Fund Direct Growth
2281,Reliance Industries Ltd.,Energy,Equity,9815.465,Sundaram Multi Cap Fund Direct Growth
2282,HDFC Bank Ltd.,Financial,Equity,8566.224,Sundaram Multi Cap Fund Direct Growth
2283,Infosys Ltd.,Technology,Equity,7495.446000000001,Sundaram Multi Cap Fund Direct Growth
2284,State Bank of India,Financial,Equity,7138.52,Sundaram Multi Cap Fund Direct Growth
2292,Fortis Healthcare Ltd.,Healthcare,Equity,3569.26,Sundaram Multi Cap Fund Direct Growth
2296,Tata Consultancy Services Ltd.,Technology,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
2297,Maruti Suzuki India Ltd.,Automobile,Equity,3212.3340000000003,Sundaram Multi Cap Fund Direct Growth
2305,SBI Life Insurance Company Ltd.,Insurance,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
2311,Housing Development Finance Corporation Ltd.,Financial,Equity,2498.482,Sundaram Multi Cap Fund Direct Growth
2313,Jubilant FoodWorks Ltd.,Services,Equity,2320.019,Sundaram Multi Cap Fund Direct Growth
2315,Blue Star Ltd.,Consumer Discretionary,Equity,2141.556,Sundaram Multi Cap Fund Direct Growth
2331,The Federal Bank Ltd.,Financial,Equity,1249.241,Sundaram Multi Cap Fund Direct Growth
2332,NTPC Ltd.,Energy,Equity,1249.241,Sundaram Multi Cap Fund Direct Growth
2336,Bharat Electronics Ltd.,Capital Goods,Equity,892.315,Sundaram Multi Cap Fund Direct Growth
2337,Cholamandalam Financial Holdings Ltd.,Financial,Equity,892.315,Sundaram Multi Cap Fund Direct Growth
2343,HDFC Bank Ltd.,Financial,Equity,194545.897,HDFC Flexi Cap Direct Plan Growth
2344,Infosys Ltd.,Technology,Equity,175410.23500000002,HDFC Flexi Cap Direct Plan Growth
2345,State Bank of India,Financial,Equity,175410.23500000002,HDFC Flexi Cap Direct Plan Growth
2346,NTPC Ltd.,Energy,Equity,149896.019,HDFC Flexi Cap Direct Plan Growth
2350,Mahindra & Mahindra Ltd.,Automobile,Equity,127571.08,HDFC Flexi Cap Direct Plan Growth
2351,Housing Development Finance Corporation Ltd.,Financial,Equity,118003.249,HDFC Flexi Cap Direct Plan Growth
2352,SBI Life Insurance Company Ltd.,Insurance,Equity,114813.972,HDFC Flexi Cap Direct Plan Growth
2359,Bank Of Baroda,Financial,Equity,66974.81700000001,HDFC Flexi Cap Direct Plan Growth
2361,Tech Mahindra Ltd.,Technology,Equity,54217.709,HDFC Flexi Cap Direct Plan Growth
2362,Reliance Industries Ltd.,Energy,Equity,47839.155,HDFC Flexi Cap Direct Plan Growth
2365,Bharat Petroleum Corporation Ltd.,Energy,Equity,38271.324,HDFC Flexi Cap Direct Plan Growth
2366,Lupin Ltd.,Healthcare,Equity,31892.77,HDFC Flexi Cap Direct Plan Growth
2369,Ultratech Cement Ltd.,Construction,Equity,25514.216,HDFC Flexi Cap Direct Plan Growth
2375,Hindustan Petroleum Corporation Ltd.,Energy,Equity,19135.662,HDFC Flexi Cap Direct Plan Growth
2388,HDFC Bank Ltd.,Financial,Equity,361361.88,Mirae Asset Large Cap Fund Direct Growth
2390,Reliance Industries Ltd.,Energy,Equity,266093.748,Mirae Asset Large Cap Fund Direct Growth
2391,Infosys Ltd.,Technology,Equity,233242.668,Mirae Asset Large Cap Fund Direct Growth
2394,Housing Development Finance Corporation Ltd.,Financial,Equity,108408.564,Mirae Asset Large Cap Fund Direct Growth
2395,State Bank of India,Financial,Equity,105123.456,Mirae Asset Large Cap Fund Direct Growth
2397,Maruti Suzuki India Ltd.,Automobile,Equity,88697.91600000001,Mirae Asset Large Cap Fund Direct Growth
2399,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,82127.70000000001,Mirae Asset Large Cap Fund Direct Growth
2400,Tata Consultancy Services Ltd.,Technology,Equity,78842.592,Mirae Asset Large Cap Fund Direct Growth
2405,NTPC Ltd.,Energy,Equity,45991.512,Mirae Asset Large Cap Fund Direct Growth
2410,One97 Communications Ltd.,Services,Equity,36136.188,Mirae Asset Large Cap Fund Direct Growth
2414,Max Financial Services Ltd.,Financial,Equity,26280.864,Mirae Asset Large Cap Fund Direct Growth
2417,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,26280.864,Mirae Asset Large Cap Fund Direct Growth
2418,Jubilant FoodWorks Ltd.,Services,Equity,26280.864,Mirae Asset Large Cap Fund Direct Growth
2425,SBI Life Insurance Company Ltd.,Insurance,Equity,19710.648,Mirae Asset Large Cap Fund Direct Growth
2426,Bharat Electronics Ltd.,Capital Goods,Equity,19710.648,Mirae Asset Large Cap Fund Direct Growth
2432,Ultratech Cement Ltd.,Construction,Equity,16425.54,Mirae Asset Large Cap Fund Direct Growth
2439,Hindustan Petroleum Corporation Ltd.,Energy,Equity,13140.432,Mirae Asset Large Cap Fund Direct Growth
2441,Kotak Mahindra Bank Ltd.,Financial,Equity,13140.432,Mirae Asset Large Cap Fund Direct Growth
2442,Bank Of Baroda,Financial,Equity,13140.432,Mirae Asset Large Cap Fund Direct Growth
2446,HDFC Bank Ltd.,Financial,Equity,11283.458,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2447,Reliance Industries Ltd.,Energy,Equity,9315.413,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2448,Tata Consultancy Services Ltd.,Technology,Equity,6035.338,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2452,Housing Development Finance Corporation Ltd.,Financial,Equity,3936.09,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2454,Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,3542.481,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2456,Indusind Bank Ltd.,Financial,Equity,3148.872,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2463,The Phoenix Mills Ltd.,Construction,Equity,2624.06,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2464,Infosys Ltd.,Technology,Equity,2492.857,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2467,Mahindra & Mahindra Ltd.,Automobile,Equity,2361.654,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2468,Maruti Suzuki India Ltd.,Automobile,Equity,2230.451,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2470,NTPC Ltd.,Energy,Equity,2230.451,Baroda BNP Paribas Flexi Cap Fund Direct Growth
2475,Hindustan Petroleum Corporation Ltd.,Energy,Equity,1836.842,Baroda BNP Paribas Flexi Cap Fund Direct Growth
