0,1,2,3
tata-resources-energy-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
tata-resources-energy-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
tata-resources-energy-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
tata-resources-energy-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
tata-resources-energy-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
tata-resources-energy-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
tata-resources-energy-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
tata-resources-energy-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
tata-resources-energy-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
tata-small-cap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
tata-small-cap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
tata-small-cap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
tata-small-cap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
tata-small-cap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
tata-small-cap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
tata-small-cap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
tata-small-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
tata-small-cap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
tata-small-cap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
union-small-and-midcap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
union-small-and-midcap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
union-small-and-midcap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
union-small-and-midcap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
union-small-and-midcap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
union-small-and-midcap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
union-small-and-midcap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
union-small-and-midcap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
union-small-and-midcap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
union-small-and-midcap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
icici-prudential-indo-asia-equity-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
icici-prudential-indo-asia-equity-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
icici-prudential-indo-asia-equity-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
icici-prudential-indo-asia-equity-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
icici-prudential-indo-asia-equity-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
icici-prudential-indo-asia-equity-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
icici-prudential-indo-asia-equity-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
icici-prudential-indo-asia-equity-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
icici-prudential-indo-asia-equity-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
icici-prudential-indo-asia-equity-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
sbi-small-midcap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
sbi-small-midcap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
sbi-small-midcap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
sbi-small-midcap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
sbi-small-midcap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
sbi-small-midcap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
sbi-small-midcap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
sbi-small-midcap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
sbi-small-midcap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
sbi-small-midcap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
dsp-blackrock-micro-cap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
dsp-blackrock-micro-cap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
dsp-blackrock-micro-cap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
dsp-blackrock-micro-cap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
dsp-blackrock-micro-cap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
dsp-blackrock-micro-cap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
dsp-blackrock-micro-cap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
dsp-blackrock-micro-cap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
dsp-blackrock-micro-cap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
dsp-blackrock-micro-cap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
invesco-india-smallcap-fund-direct-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
invesco-india-smallcap-fund-direct-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
invesco-india-smallcap-fund-direct-direct-growth,Cipla Ltd.,Healthcare,7.9
invesco-india-smallcap-fund-direct-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
invesco-india-smallcap-fund-direct-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
invesco-india-smallcap-fund-direct-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
invesco-india-smallcap-fund-direct-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
invesco-india-smallcap-fund-direct-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
invesco-india-smallcap-fund-direct-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
invesco-india-smallcap-fund-direct-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
nippon-india-pharma-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
nippon-india-pharma-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
nippon-india-pharma-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
nippon-india-pharma-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
nippon-india-pharma-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
nippon-india-pharma-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
nippon-india-pharma-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
nippon-india-pharma-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
nippon-india-pharma-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
nippon-india-pharma-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
icici-prudential-pharma-healthcare-and-diagnostics-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Cipla Ltd.,Healthcare,7.9
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
edelweiss-maiden-opportunities-fund-series-1-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
sbi-magnum-midcap-fund-direct-growth,Sun Pharmaceutical Industries Ltd.,Healthcare,15.7
sbi-magnum-midcap-fund-direct-growth,Dr. Reddy's Laboratories Ltd.,Healthcare,9.2
sbi-magnum-midcap-fund-direct-growth,Cipla Ltd.,Healthcare,7.9
sbi-magnum-midcap-fund-direct-growth,Apollo Hospitals Enterprise Ltd.,Healthcare,7.3
sbi-magnum-midcap-fund-direct-growth,Torrent Pharmaceuticals Ltd.,Healthcare,5.4
sbi-magnum-midcap-fund-direct-growth,Ipca Laboratories Ltd.,Healthcare,5.2
sbi-magnum-midcap-fund-direct-growth,Fortis Healthcare Ltd.,Healthcare,4.5
sbi-magnum-midcap-fund-direct-growth,Divi's Laboratories Ltd.,Healthcare,4.2
sbi-magnum-midcap-fund-direct-growth,Aurobindo Pharma Ltd.,Healthcare,4.0
sbi-magnum-midcap-fund-direct-growth,Gland Pharma Ltd.,Healthcare,3.6
edelweiss-mid-and-small-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,4.2
edelweiss-mid-and-small-cap-fund-direct-growth,Cholamandalam Investment & Finance Company Ltd.,Financial,3.7
edelweiss-mid-and-small-cap-fund-direct-growth,Trent Ltd.,Services,3.7
edelweiss-mid-and-small-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,3.5
edelweiss-mid-and-small-cap-fund-direct-growth,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,3.5
edelweiss-mid-and-small-cap-fund-direct-growth,Tata Power Company Ltd.,Energy,3.4
edelweiss-mid-and-small-cap-fund-direct-growth,ABB India Ltd.,Capital Goods,3.2
edelweiss-mid-and-small-cap-fund-direct-growth,SRF Ltd.,Diversified,3.2
edelweiss-mid-and-small-cap-fund-direct-growth,Cummins India Ltd.,Capital Goods,3.1
edelweiss-mid-and-small-cap-fund-direct-growth,Navin Fluorine International Ltd.,Chemicals,3.0
quant-large-and-mid-cap-fund-direct-growth,Persistent Systems Ltd.,Technology,4.2
quant-large-and-mid-cap-fund-direct-growth,Cholamandalam Investment & Finance Company Ltd.,Financial,3.7
quant-large-and-mid-cap-fund-direct-growth,Trent Ltd.,Services,3.7
quant-large-and-mid-cap-fund-direct-growth,The Federal Bank Ltd.,Financial,3.5
